customer_id,tenure_months,login_frequency,monthly_charges,R_score,F_score,M_score,RFM_score,customer_segment
C10002,24,6,378.74,4,1,1,6,At Risk
C10004,3,21,1304.09,1,4,5,10,Loyal
C10005,34,10,1425.37,5,2,5,12,Loyal
C10007,15,30,693.01,2,5,3,10,Loyal
C10008,19,25,328.82,3,5,1,9,Potential Loyal
C10009,33,6,1260.08,5,1,5,11,Loyal
C10012,29,15,648.45,4,3,3,10,Loyal
C10013,4,15,326.6,1,3,1,5,At Risk
C10015,13,22,407.22,2,4,2,8,Potential Loyal
C10016,11,20,1018.8,2,4,5,11,Loyal
C10018,30,11,893.55,5,2,4,11,Loyal
C10019,25,18,308.73,4,3,1,8,Potential Loyal
C10021,32,0,829.78,5,1,4,10,Loyal
C10024,27,27,816.67,4,5,4,13,High Value
C10025,28,21,864.25,4,4,4,12,Loyal
C10026,14,9,422.23,2,1,2,5,At Risk
C10027,4,21,1378.85,1,4,5,10,Loyal
C10028,29,14,334.74,4,2,1,7,Potential Loyal
C10030,20,16,1170.26,3,3,5,11,Loyal
C10032,7,26,393.02,1,5,2,8,Potential Loyal
C10034,18,11,468.38,3,2,2,7,Potential Loyal
C10036,25,8,306.54,4,1,1,6,At Risk
C10037,15,13,492.47,2,2,3,7,Potential Loyal
C10038,28,24,752.68,4,5,4,13,High Value
C10039,5,19,315.25,1,4,1,6,At Risk
C10040,27,23,454.19,4,5,2,11,Loyal
C10041,28,6,621.11,4,1,3,8,Potential Loyal
C10043,31,22,371.46,5,4,1,10,Loyal
C10044,14,2,347.37,2,1,1,4,Low Engagement
C10045,6,14,688.86,1,2,3,6,At Risk
C10048,25,14,1238.89,4,2,5,11,Loyal
C10049,24,19,1183.23,4,4,5,13,High Value
C10053,2,22,443.95,1,4,2,7,Potential Loyal
C10054,29,28,386.09,4,5,1,10,Loyal
C10055,12,16,413.65,2,3,2,7,Potential Loyal
C10056,18,0,1180.64,3,1,5,9,Potential Loyal
C10058,10,20,445.88,2,4,2,8,Potential Loyal
C10060,24,19,341.82,4,4,1,9,Potential Loyal
C10061,32,18,1088.04,5,3,5,13,High Value
C10063,34,12,333.29,5,2,1,8,Potential Loyal
C10064,34,19,863.58,5,4,4,13,High Value
C10065,21,20,1458.49,3,4,5,12,Loyal
C10066,12,14,655.45,2,2,3,7,Potential Loyal
C10067,36,0,713.11,5,1,3,9,Potential Loyal
C10068,0,10,802.97,1,2,4,7,Potential Loyal
C10069,5,9,305.56,1,1,1,3,Low Engagement
C10070,4,17,748.73,1,3,4,8,Potential Loyal
C10071,2,33,1055.11,1,5,5,11,Loyal
C10073,36,21,410.72,5,4,2,11,Loyal
C10074,30,20,877.25,5,4,4,13,High Value
C10075,8,7,854.84,2,1,4,7,Potential Loyal
C10076,31,23,849.4,5,5,4,14,High Value
C10078,12,12,436.99,2,2,2,6,At Risk
C10082,5,18,419.04,1,3,2,6,At Risk
C10083,10,24,1021.61,2,5,5,12,Loyal
C10085,23,1,371.52,4,1,1,6,At Risk
C10086,25,9,1470.12,4,1,5,10,Loyal
C10087,4,5,749.55,1,1,4,6,At Risk
C10088,4,20,1352.83,1,4,5,10,Loyal
C10089,23,27,327.94,4,5,1,10,Loyal
C10090,31,26,1374.13,5,5,5,15,High Value
C10091,3,8,690.51,1,1,3,5,At Risk
C10092,13,16,393.09,2,3,2,7,Potential Loyal
C10093,19,15,894.05,3,3,4,10,Loyal
C10094,22,6,855.86,3,1,4,8,Potential Loyal
C10095,6,20,812.29,1,4,4,9,Potential Loyal
C10096,19,17,686.4,3,3,3,9,Potential Loyal
C10097,10,23,378.86,2,5,1,8,Potential Loyal
C10098,17,11,765.17,3,2,4,9,Potential Loyal
C10099,31,1,1300.16,5,1,5,11,Loyal
C10100,13,0,1128.2,2,1,5,8,Potential Loyal
C10101,29,13,308.66,4,2,1,7,Potential Loyal
C10102,7,13,383.86,1,2,1,4,Low Engagement
C10103,35,13,1261.54,5,2,5,12,Loyal
C10104,21,27,446.75,3,5,2,10,Loyal
C10105,16,23,474.32,3,5,2,10,Loyal
C10107,19,14,352.6,3,2,1,6,At Risk
C10110,0,22,349.74,1,4,1,6,At Risk
C10111,27,12,495.73,4,2,3,9,Potential Loyal
C10112,31,8,672.13,5,1,3,9,Potential Loyal
C10113,3,9,481.75,1,1,3,5,At Risk
C10114,23,19,752.93,4,4,4,12,Loyal
C10118,13,6,1053.82,2,1,5,8,Potential Loyal
C10119,21,13,682.35,3,2,3,8,Potential Loyal
C10121,1,19,1379.45,1,4,5,10,Loyal
C10122,9,19,1059.46,2,4,5,11,Loyal
C10123,19,13,775.48,3,2,4,9,Potential Loyal
C10124,23,7,484.36,4,1,3,8,Potential Loyal
C10125,24,7,683.37,4,1,3,8,Potential Loyal
C10126,27,25,470.71,4,5,2,11,Loyal
C10128,3,13,307.83,1,2,1,4,Low Engagement
C10129,15,6,440.28,2,1,2,5,At Risk
C10130,35,16,392.19,5,3,2,10,Loyal
C10131,4,28,465.88,1,5,2,8,Potential Loyal
C10132,14,11,422.26,2,2,2,6,At Risk
C10134,8,24,824.22,2,5,4,11,Loyal
C10135,9,19,809.95,2,4,4,10,Loyal
C10138,25,26,1302.0,4,5,5,14,High Value
C10139,1,6,429.58,1,1,2,4,Low Engagement
C10140,30,24,346.99,5,5,1,11,Loyal
C10141,13,12,1415.81,2,2,5,9,Potential Loyal
C10142,24,29,396.83,4,5,2,11,Loyal
C10143,35,22,494.94,5,4,3,12,Loyal
C10145,8,8,448.46,2,1,2,5,At Risk
