customer_id,age,gender,city,signup_date,tenure_months
C10001,62,Female,Delhi,2025-07-19,13
C10002,41,Male,Gurgaon,2024-08-17,24
C10003,44,Male,Mumbai,2024-01-08,31
C10004,40,Male,Pune,2026-05-14,3
C10005,41,Male,Noida,2023-10-25,34
C10006,31,Male,Mumbai,2025-06-08,14
C10007,26,Female,Delhi,2025-05-24,15
C10008,41,Female,Mumbai,2025-01-08,19
C10009,18,Male,Mumbai,2023-12-01,33
C10010,42,Female,Gurgaon,2025-06-13,14
C10011,40,Female,Mumbai,2024-10-17,22
C10012,29,Male,Pune,2024-03-08,29
C10013,36,Female,Noida,2026-03-30,4
C10014,27,Female,Delhi,2025-03-17,17
C10015,25,Female,Kolkata,2025-07-22,13
C10016,44,Male,Bangalore,2025-09-26,11
C10017,36,Female,Chennai,2026-02-21,6
C10018,54,Female,Bangalore,2024-02-22,30
C10019,61,Male,Gurgaon,2024-08-01,25
C10020,41,Female,Kolkata,2025-07-25,13
C10021,38,Female,Gurgaon,2023-12-29,32
C10022,51,Female,Ahmedabad,2024-10-23,22
C10023,18,Female,Kolkata,2025-04-19,16
C10024,23,Male,Ahmedabad,2024-05-16,27
C10025,33,Female,Ahmedabad,2024-04-09,28
C10026,38,Female,Mumbai,2025-06-21,14
C10027,36,Female,Hyderabad,2026-04-15,4
C10028,36,Male,Noida,2024-03-24,29
C10029,43,Female,Mumbai,2024-01-07,31
C10030,35,Male,Mumbai,2024-12-06,20
C10031,41,Female,Chennai,2025-06-14,14
C10032,38,Female,Kolkata,2026-01-07,7
C10033,30,Female,Mumbai,2024-10-18,22
C10034,27,Male,Bangalore,2025-02-20,18
C10035,25,Male,Delhi,2024-06-04,26
C10036,39,Female,Ahmedabad,2024-07-06,25
C10037,33,Female,Ahmedabad,2025-05-09,15
C10038,54,Male,Chennai,2024-04-07,28
C10039,37,Female,Kolkata,2026-03-17,5
C10040,54,Female,Delhi,2024-05-15,27
C10041,25,Female,Mumbai,2024-04-17,28
C10042,36,Male,Gurgaon,2026-08-08,0
C10043,23,Female,Chennai,2024-01-14,31
C10044,35,Female,Mumbai,2025-06-04,14
C10045,45,Female,Noida,2026-02-09,6
C10046,33,Female,Gurgaon,2024-09-13,23
C10047,34,Female,Chennai,2026-07-08,1
C10048,41,Female,Pune,2024-07-23,25
C10049,56,Male,Mumbai,2024-08-15,24
C10050,28,Male,Kolkata,2026-08-02,0
C10051,27,Male,Pune,2025-03-03,17
C10052,31,Male,Delhi,2025-10-11,10
C10053,36,Female,Chennai,2026-06-12,2
C10054,30,Male,Hyderabad,2024-03-20,29
C10055,40,Male,Noida,2025-08-16,12
C10056,45,Female,Noida,2025-01-30,18
C10057,25,Male,Bangalore,2026-04-09,4
C10058,53,Other,Gurgaon,2025-10-17,10
C10059,23,Male,Ahmedabad,2024-05-15,27
C10060,41,Female,Delhi,2024-08-09,24
C10061,38,Male,Delhi,2023-12-22,32
C10062,55,Male,Kolkata,2025-09-15,11
C10063,31,Female,Hyderabad,2023-11-05,34
C10064,37,Female,Mumbai,2023-10-11,34
C10065,41,Male,Delhi,2024-11-22,21
C10066,45,Male,Hyderabad,2025-08-15,12
C10067,34,Female,Hyderabad,2023-08-31,36
C10068,54,Male,Hyderabad,2026-08-09,0
C10069,24,Female,Hyderabad,2026-03-02,5
C10070,27,Male,Hyderabad,2026-04-08,4
C10071,36,Male,Hyderabad,2026-06-17,2
C10072,27,Female,Pune,2024-09-12,23
C10073,21,Male,Chennai,2023-08-23,36
C10074,49,Male,Kolkata,2024-02-28,30
C10075,44,Female,Kolkata,2025-12-21,8
C10076,18,Male,Mumbai,2024-01-21,31
C10077,44,Male,Chennai,2025-11-07,9
C10078,46,Female,Noida,2025-08-20,12
C10079,24,Male,Kolkata,2025-07-06,13
C10080,47,Female,Ahmedabad,2024-02-19,30
C10081,20,Female,Mumbai,2025-11-09,9
C10082,30,Male,Bangalore,2026-03-08,5
C10083,33,Female,Chennai,2025-10-18,10
C10084,39,Female,Ahmedabad,2024-11-21,21
C10085,38,Male,Delhi,2024-09-29,23
C10086,37,Male,Noida,2024-07-14,25
C10087,26,Female,Noida,2026-04-05,4
C10088,50,Other,Noida,2026-04-21,4
C10089,41,Female,Hyderabad,2024-09-03,23
C10090,29,Male,Chennai,2024-01-16,31
C10091,29,Female,Noida,2026-04-26,3
C10092,49,Female,Mumbai,2025-07-23,13
C10093,41,Female,Mumbai,2025-01-28,19
C10094,25,Female,Gurgaon,2024-10-20,22
C10095,31,Female,Delhi,2026-02-17,6
C10096,45,Male,Noida,2025-01-25,19
C10097,18,Male,Chennai,2025-10-10,10
C10098,26,Female,Bangalore,2025-03-27,17
C10099,42,Male,Noida,2024-01-10,31
C10100,22,Female,Bangalore,2025-06-29,13
