customer_id,plan,contract_type,monthly_charges,tenure_months,monthly_usage_hours,support_tickets,auto_renewal,risk_score,risk_level
C10002,Basic,Annual,378.74,24,13.0,5,False,3,High Risk
C10004,Premium,Monthly,1304.09,3,45.9,1,False,3,High Risk
C10005,Premium,Annual,1425.37,34,30.2,4,True,1,Medium Risk
C10007,Standard,Monthly,693.01,15,55.9,1,True,1,Medium Risk
C10008,Basic,Monthly,328.82,19,52.9,1,True,1,Medium Risk
C10009,Premium,Annual,1260.08,33,15.6,4,True,2,Medium Risk
C10012,Standard,Monthly,648.45,29,52.2,2,False,2,Medium Risk
C10013,Basic,Monthly,326.6,4,40.5,3,True,3,High Risk
C10015,Basic,Monthly,407.22,13,57.1,1,False,2,Medium Risk
C10016,Premium,Monthly,1018.8,11,47.2,2,True,2,Medium Risk
C10018,Standard,Annual,893.55,30,31.3,3,False,2,Medium Risk
C10019,Basic,Monthly,308.73,25,64.1,1,True,1,Medium Risk
C10021,Standard,Monthly,829.78,32,1.9,6,False,4,High Risk
C10024,Standard,Monthly,816.67,27,72.3,1,False,2,Medium Risk
C10025,Standard,Monthly,864.25,28,56.3,1,True,1,Medium Risk
C10026,Basic,Monthly,422.23,14,30.4,5,True,2,Medium Risk
C10027,Premium,Monthly,1378.85,4,58.9,1,True,2,Medium Risk
C10028,Basic,Monthly,334.74,29,45.9,2,True,1,Medium Risk
C10030,Premium,Monthly,1170.26,20,32.9,4,True,2,Medium Risk
C10032,Basic,Monthly,393.02,7,61.4,1,False,3,High Risk
C10034,Basic,Monthly,468.38,18,29.2,3,True,2,Medium Risk
C10036,Basic,Monthly,306.54,25,30.7,3,True,2,Medium Risk
C10037,Basic,Annual,492.47,15,42.3,3,True,1,Medium Risk
C10038,Standard,Annual,752.68,28,65.8,1,True,0,Low Risk
C10039,Basic,Monthly,315.25,5,62.9,1,False,3,High Risk
C10040,Basic,Monthly,454.19,27,54.7,2,True,1,Medium Risk
C10041,Standard,Annual,621.11,28,25.5,4,True,1,Medium Risk
C10043,Basic,Monthly,371.46,31,47.3,6,False,3,High Risk
C10044,Basic,Annual,347.37,14,4.0,5,True,2,Medium Risk
C10045,Standard,Annual,688.86,6,29.7,3,True,2,Medium Risk
C10048,Premium,Annual,1238.89,25,16.2,5,True,2,Medium Risk
C10049,Premium,Annual,1183.23,24,43.7,2,True,0,Low Risk
C10053,Basic,Monthly,443.95,2,40.6,2,True,2,Medium Risk
C10054,Basic,Monthly,386.09,29,65.8,2,False,2,Medium Risk
C10055,Basic,Annual,413.65,12,26.8,3,False,2,Medium Risk
C10056,Premium,Monthly,1180.64,18,11.4,4,True,3,High Risk
C10058,Basic,Monthly,445.88,10,49.4,2,False,3,High Risk
C10060,Basic,Monthly,341.82,24,49.8,2,True,1,Medium Risk
C10061,Premium,Monthly,1088.04,32,43.2,3,False,3,High Risk
C10063,Basic,Annual,333.29,34,30.7,3,True,1,Medium Risk
C10064,Standard,Monthly,863.58,34,58.7,3,False,3,High Risk
C10065,Premium,Annual,1458.49,21,50.0,2,True,0,Low Risk
C10066,Standard,Annual,655.45,12,28.8,4,True,1,Medium Risk
C10067,Standard,Annual,713.11,36,18.1,4,True,2,Medium Risk
C10068,Standard,Monthly,802.97,0,35.2,3,False,4,High Risk
C10069,Basic,Monthly,305.56,5,39.6,4,False,4,High Risk
C10070,Standard,Monthly,748.73,4,60.1,1,False,3,High Risk
C10071,Premium,Monthly,1055.11,2,73.9,2,False,3,High Risk
C10073,Basic,Monthly,410.72,36,50.6,2,False,2,Medium Risk
C10074,Standard,Annual,877.25,30,66.4,1,False,1,Medium Risk
C10075,Standard,Annual,854.84,8,22.1,4,False,3,High Risk
C10076,Standard,Monthly,849.4,31,57.9,1,False,2,Medium Risk
C10078,Basic,Monthly,436.99,12,25.2,5,True,2,Medium Risk
C10082,Basic,Monthly,419.04,5,50.5,3,True,3,High Risk
C10083,Premium,Monthly,1021.61,10,53.9,3,True,3,High Risk
C10085,Basic,Annual,371.52,23,19.3,6,True,2,Medium Risk
C10086,Premium,Annual,1470.12,25,24.0,3,True,1,Medium Risk
C10087,Standard,Monthly,749.55,4,9.0,5,False,5,High Risk
C10088,Premium,Monthly,1352.83,4,45.0,3,True,3,High Risk
C10089,Basic,Monthly,327.94,23,70.0,1,True,1,Medium Risk
C10090,Premium,Monthly,1374.13,31,58.8,1,True,1,Medium Risk
C10091,Standard,Monthly,690.51,3,11.7,5,True,4,High Risk
C10092,Basic,Monthly,393.09,13,37.1,5,False,3,High Risk
C10093,Standard,Annual,894.05,19,45.7,3,False,2,Medium Risk
C10094,Standard,Monthly,855.86,22,24.8,5,False,3,High Risk
C10095,Standard,Monthly,812.29,6,49.4,2,True,2,Medium Risk
C10096,Standard,Monthly,686.4,19,48.9,2,True,1,Medium Risk
C10097,Basic,Annual,378.86,10,51.4,2,True,1,Medium Risk
C10098,Standard,Annual,765.17,17,49.9,2,True,0,Low Risk
C10099,Premium,Annual,1300.16,31,22.9,4,True,1,Medium Risk
C10100,Premium,Monthly,1128.2,13,21.2,4,False,3,High Risk
C10101,Basic,Monthly,308.66,29,41.4,2,True,1,Medium Risk
C10102,Basic,Annual,383.86,7,30.9,5,True,2,Medium Risk
