customer_id,plan,contract_type,monthly_charges,payment_method,auto_renewal
C10001,Basic,Monthly,426.63,Debit Card,False
C10002,Premium,Monthly,1228.65,Net Banking,False
C10003,Standard,Monthly,888.35,Wallet,False
C10004,Standard,Monthly,664.69,Net Banking,True
C10005,Basic,Monthly,416.57,Debit Card,True
C10006,Basic,Monthly,439.04,UPI,False
C10007,Basic,Monthly,464.11,UPI,False
C10008,Premium,Monthly,1202.49,UPI,False
C10009,Standard,Monthly,805.08,Credit Card,True
C10010,Standard,Monthly,689.96,UPI,False
C10011,Basic,Monthly,386.1,UPI,False
C10012,Premium,Monthly,1446.81,UPI,True
C10013,Premium,Annual,1473.95,Wallet,True
C10014,Basic,Monthly,442.76,Credit Card,False
C10015,Basic,Annual,373.87,Debit Card,True
C10016,Basic,Monthly,463.01,Debit Card,True
C10017,Basic,Monthly,304.17,Debit Card,False
C10018,Standard,Annual,629.82,Debit Card,True
C10019,Basic,Monthly,431.27,Credit Card,False
C10020,Basic,Annual,357.25,Net Banking,True
C10021,Standard,Monthly,884.42,Wallet,True
C10022,Basic,Monthly,386.21,Credit Card,False
C10023,Basic,Monthly,384.87,Credit Card,True
C10024,Basic,Annual,434.62,Credit Card,True
C10025,Standard,Monthly,829.27,UPI,False
C10026,Standard,Annual,741.67,UPI,False
C10027,Basic,Monthly,341.8,Credit Card,False
C10028,Standard,Monthly,830.99,UPI,True
C10029,Standard,Monthly,695.11,Credit Card,True
C10030,Basic,Monthly,334.02,Wallet,False
C10031,Standard,Monthly,788.49,Net Banking,True
C10032,Basic,Annual,317.09,Wallet,True
C10033,Basic,Monthly,493.27,Credit Card,True
C10034,Premium,Annual,1315.2,Debit Card,True
C10035,Premium,Monthly,1491.95,Credit Card,False
C10036,Premium,Annual,1168.45,UPI,True
C10037,Basic,Monthly,493.24,Credit Card,False
C10038,Basic,Monthly,328.11,UPI,True
C10039,Standard,Annual,611.21,UPI,False
C10040,Basic,Monthly,305.6,UPI,False
C10041,Basic,Monthly,391.97,Net Banking,True
C10042,Standard,Monthly,623.9,UPI,False
C10043,Basic,Monthly,401.43,Credit Card,False
C10044,Premium,Monthly,1162.75,UPI,True
C10045,Basic,Monthly,366.13,Wallet,True
C10046,Standard,Monthly,789.68,UPI,True
C10047,Basic,Monthly,331.62,UPI,False
C10048,Standard,Monthly,828.97,Wallet,True
C10049,Standard,Monthly,773.61,UPI,False
C10050,Basic,Monthly,481.99,Wallet,True
C10051,Premium,Monthly,1181.42,Credit Card,True
C10052,Standard,Annual,893.81,UPI,True
C10053,Premium,Monthly,1286.91,Credit Card,False
C10054,Premium,Annual,1485.7,Debit Card,True
C10055,Standard,Monthly,607.12,Credit Card,False
C10056,Premium,Monthly,1362.99,Credit Card,True
C10057,Basic,Monthly,462.32,Credit Card,False
C10058,Basic,Annual,309.63,Debit Card,False
C10059,Basic,Monthly,414.79,Credit Card,True
C10060,Basic,Monthly,459.39,Net Banking,False
C10061,Basic,Monthly,411.21,Credit Card,False
C10062,Basic,Monthly,311.76,Debit Card,False
C10063,Premium,Monthly,1345.72,Credit Card,True
C10064,Basic,Monthly,311.12,Credit Card,False
C10065,Basic,Monthly,462.49,Net Banking,False
C10066,Standard,Annual,611.91,Net Banking,True
C10067,Basic,Monthly,326.48,Net Banking,True
