transaction_id,customer_id,transaction_date,amount,payment_status
T100001,C10001,2025-07-19,504.94,Paid
T100002,C10001,2025-08-18,474.33,Paid
T100003,C10001,2025-09-17,481.88,Paid
T100004,C10002,2024-08-17,360.21,Paid
T100005,C10002,2024-09-16,396.14,Paid
T100006,C10002,2024-10-16,362.25,Paid
T100007,C10002,2024-11-15,389.14,Paid
T100008,C10002,2024-12-15,366.41,Paid
T100009,C10002,2025-01-14,372.67,Paid
T100010,C10002,2025-02-13,372.43,Paid
T100011,C10002,2025-03-15,363.0,Paid
T100012,C10002,2025-04-14,368.19,Paid
T100013,C10002,2025-05-14,377.19,Paid
T100014,C10002,2025-06-13,395.66,Paid
T100015,C10002,2025-07-13,388.48,Paid
T100016,C10002,2025-08-12,364.24,Paid
T100017,C10002,2025-09-11,389.72,Paid
T100018,C10002,2025-10-11,376.99,Paid
T100019,C10002,2025-11-10,370.48,Paid
T100020,C10002,2025-12-10,393.2,Paid
T100021,C10002,2026-01-09,395.3,Paid
T100022,C10002,2026-02-08,385.08,Paid
T100023,C10002,2026-03-10,383.88,Failed
T100024,C10002,2026-04-09,384.89,Paid
T100025,C10002,2026-05-09,396.42,Paid
T100026,C10002,2026-06-08,379.28,Paid
T100027,C10002,2026-07-08,378.89,Paid
T100028,C10002,2026-08-07,397.0,Paid
T100029,C10003,2024-01-08,1102.73,Paid
T100030,C10003,2024-02-07,1088.94,Paid
T100031,C10003,2024-03-08,1117.36,Paid
T100032,C10003,2024-04-07,1025.96,Paid
T100033,C10003,2024-05-07,1068.9,Paid
T100034,C10003,2024-06-06,1065.35,Paid
T100035,C10003,2024-07-06,1051.8,Paid
T100036,C10003,2024-08-05,1098.44,Paid
T100037,C10003,2024-09-04,1053.07,Paid
T100038,C10003,2024-10-04,1103.33,Paid
T100039,C10003,2024-11-03,1038.0,Paid
T100040,C10003,2024-12-03,1066.65,Paid
T100041,C10003,2025-01-02,1055.21,Paid
T100042,C10003,2025-02-01,1090.59,Paid
T100043,C10003,2025-03-03,1077.1,Paid
T100044,C10003,2025-04-02,1052.54,Paid
T100045,C10003,2025-05-02,1025.86,Paid
T100046,C10003,2025-06-01,1079.07,Paid
