customer_id,monthly_usage_hours,login_frequency,support_tickets,complaints
C10001,14.0,5,4,4
C10002,13.0,6,5,4
C10003,77.9,31,1,0
C10004,45.9,21,1,1
C10005,30.2,10,4,2
C10006,50.3,17,2,0
C10007,55.9,30,1,1
C10008,52.9,25,1,0
C10009,15.6,6,4,4
C10010,36.0,14,3,3
C10011,39.0,13,3,3
C10012,52.2,15,2,2
C10013,40.5,15,3,2
C10014,30.9,8,3,3
C10015,57.1,22,1,0
C10016,47.2,20,2,1
C10017,65.7,19,1,1
C10018,31.3,11,3,1
C10019,64.1,18,1,0
C10020,23.4,8,3,2
C10021,1.9,0,6,5
C10022,53.0,17,2,0
C10023,59.5,27,1,0
C10024,72.3,27,1,0
C10025,56.3,21,1,0
C10026,30.4,9,5,4
C10027,58.9,21,1,1
C10028,45.9,14,2,0
C10029,43.5,14,2,2
C10030,32.9,16,4,3
C10031,34.7,13,4,2
C10032,61.4,26,1,0
C10033,36.0,12,4,2
C10034,29.2,11,3,2
C10035,23.3,9,4,4
C10036,30.7,8,3,1
C10037,42.3,13,3,3
C10038,65.8,24,1,1
C10039,62.9,19,1,1
C10040,54.7,23,2,2
C10041,25.5,6,4,4
C10042,24.6,11,5,3
C10043,47.3,22,6,5
C10044,4.0,2,5,3
C10045,29.7,14,3,2
C10046,19.5,11,4,2
C10047,42.3,13,3,1
C10048,16.2,14,5,3
C10049,43.7,19,2,1
C10050,19.5,0,5,3
C10051,29.3,12,5,4
C10052,23.7,3,4,2
C10053,40.6,22,2,1
C10054,65.8,28,2,1
C10055,26.8,16,3,3
C10056,11.4,0,4,2
C10057,8.1,5,5,5
C10058,49.4,20,2,1
C10059,35.3,14,4,4
C10060,49.8,19,2,2
C10061,43.2,18,3,3
C10062,46.8,10,2,0
C10063,30.7,12,3,1
C10064,58.7,19,3,3
C10065,50.0,20,2,0
C10066,28.8,14,4,2
C10067,18.1,0,4,4
C10068,35.2,10,3,1
C10069,39.6,9,4,2
C10070,60.1,17,1,1
C10071,73.9,33,2,0
C10072,38.7,13,4,2
C10073,50.6,21,2,0
C10074,66.4,20,1,0
C10075,22.1,7,4,4
C10076,57.9,23,1,0
C10077,9.2,4,4,4
C10078,25.2,12,5,5
C10079,48.2,18,4,2
C10080,58.8,23,1,0
C10081,12.7,9,4,3
C10082,50.5,18,3,1
C10083,53.9,24,3,1
C10084,12.0,3,5,3
C10085,19.3,1,6,5
C10086,24.0,9,3,3
C10087,9.0,5,5,5
C10088,45.0,20,3,2
C10089,70.0,27,1,0
C10090,58.8,26,1,1
C10091,11.7,8,5,5
C10092,37.1,16,5,4
C10093,45.7,15,3,1
C10094,24.8,6,5,4
C10095,49.4,20,2,1
C10096,48.9,17,2,0
C10097,51.4,23,2,0
C10098,49.9,11,2,1
C10099,22.9,1,4,4
C10100,21.2,0,4,3
C10101,41.4,13,2,2
C10102,30.9,13,5,4
C10103,30.3,13,3,2
C10104,66.0,27,1,0
C10105,49.1,23,2,2
C10106,50.1,23,2,0
C10107,36.8,14,3,3
C10108,45.2,17,4,4
C10109,39.8,14,4,4
C10110,49.4,22,2,1
C10111,40.0,12,2,0
C10112,13.0,8,5,5
C10113,18.4,9,4,2
C10114,43.8,19,4,3
C10115,67.0,20,1,1
C10116,15.3,5,4,2
C10117,51.9,19,4,4
C10118,29.6,6,4,3
C10119,32.7,13,3,3
C10120,42.2,13,2,0
C10121,46.5,19,3,3
C10122,48.2,19,2,0
C10123,56.5,13,4,2
C10124,15.6,7,4,3
C10125,14.2,7,5,5
C10126,67.8,25,2,0
C10127,57.8,19,2,1
C10128,18.0,13,3,2
C10129,22.2,6,5,4
C10130,39.3,16,3,2
C10131,57.5,28,2,1
C10132,36.1,11,2,2
C10133,74.6,26,0,0
C10134,48.8,24,2,1
C10135,53.3,19,2,0
C10136,27.1,14,3,3
C10137,6.3,5,4,2
C10138,66.6,26,1,0
C10139,16.3,6,5,5
C10140,61.1,24,2,1
C10141,23.3,12,4,4
C10142,65.1,29,2,2
C10143,62.8,22,1,1
C10144,25.6,14,4,3
C10145,29.0,8,4,2
C10146,4.7,6,5,4
C10147,33.1,14,3,2
C10148,36.3,12,2,2
C10149,31.9,17,4,2
C10150,39.0,12,2,0
C10151,75.8,22,3,1
C10152,9.8,0,5,4
C10153,61.7,30,1,1
C10154,48.5,20,5,5
C10155,21.3,10,4,3
C10156,29.7,16,6,5
C10157,27.8,13,3,3
C10158,51.9,22,2,0
C10159,30.8,14,6,5
C10160,76.9,23,1,1
C10161,6.0,1,4,4
C10162,33.5,17,3,1
C10163,14.5,5,4,2
C10164,45.2,17,2,0
C10165,63.7,24,1,0
C10166,69.6,22,2,0
C10167,51.5,16,2,0
C10168,33.2,15,3,1
C10169,47.3,15,3,2
C10170,58.8,27,1,0
C10171,27.7,9,4,4
C10172,60.4,19,2,1
C10173,17.9,8,4,3
C10174,59.1,24,2,2
C10175,40.2,19,3,3
C10176,39.8,17,4,3
C10177,62.2,23,1,1
C10178,30.9,11,3,1
C10179,25.3,10,3,1
C10180,54.6,22,3,3
C10181,48.4,23,4,3
C10182,63.0,23,1,0
C10183,44.9,22,3,3
C10184,48.2,23,3,1
C10185,15.7,1,7,5
C10186,39.7,13,3,1
C10187,64.2,24,2,0
C10188,50.4,17,3,2
C10189,39.0,13,4,3
C10190,20.0,6,5,3
C10191,10.3,5,6,5
C10192,74.7,28,2,2
C10193,49.7,20,2,2
C10194,23.9,13,4,3
C10195,19.7,6,4,2
C10196,36.5,11,4,4
C10197,48.2,25,2,0
C10198,27.6,14,3,3
C10199,7.6,10,4,2
C10200,67.1,27,1,0
C10201,47.6,25,3,2
C10202,77.7,24,1,1
C10203,26.9,8,4,4
C10204,49.7,21,2,2
C10205,65.7,23,1,0
C10206,61.8,24,1,1
C10207,35.2,18,2,2
C10208,48.7,21,2,1
C10209,43.7,16,2,0
C10210,35.2,11,3,1
C10211,75.8,24,1,1
C10212,44.7,18,4,3
C10213,64.5,26,1,0
C10214,42.3,17,2,0
C10215,2.6,2,6,4
C10216,47.3,21,2,2
C10217,55.7,20,2,2
C10218,26.6,6,3,1
C10219,59.4,27,2,2
C10220,47.9,16,2,0
C10221,66.9,22,1,1
C10222,12.2,5,4,2
C10223,14.0,5,5,5
C10224,39.6,16,3,1
C10225,18.7,1,5,5
C10226,31.3,12,3,1
C10227,47.1,14,3,1
C10228,63.3,22,2,1
C10229,63.9,24,1,1
C10230,25.5,18,3,3
C10231,64.7,29,0,0
C10232,74.1,24,1,0
C10233,32.8,18,5,4
C10234,23.9,8,4,2
C10235,3.9,0,5,5
C10236,50.8,19,2,1
C10237,40.4,14,4,4
C10238,48.2,14,2,2
C10239,48.6,9,3,1
C10240,4.7,3,6,5
C10241,36.3,9,4,4
C10242,31.6,9,4,2
C10243,60.1,20,1,0
C10244,59.9,21,1,0
C10245,64.3,25,1,0
C10246,41.0,12,4,4
C10247,53.9,20,3,1
C10248,6.5,5,6,5
C10249,33.7,10,4,4
C10250,5.6,4,6,6
C10251,35.6,14,3,2
C10252,50.2,27,2,0
C10253,65.5,18,1,1
C10254,68.1,23,1,0
C10255,58.3,24,1,0
C10256,41.3,12,2,1
C10257,68.6,18,2,2
C10258,41.8,16,3,1
C10259,42.3,13,3,2
C10260,66.3,28,1,1
C10261,56.3,20,1,0
C10262,39.1,14,3,1
C10263,69.3,31,0,0
C10264,19.1,6,4,4
C10265,33.9,15,4,2
C10266,34.7,5,4,4
C10267,43.9,14,2,2
C10268,69.5,25,1,0
C10269,60.9,18,3,3
C10270,13.9,1,5,5
C10271,41.3,19,3,2
C10272,47.6,15,2,1
C10273,53.4,17,2,0
C10274,27.4,15,4,4
C10275,82.1,25,1,0
C10276,56.5,22,3,2
C10277,44.4,18,2,1
C10278,44.0,11,3,3
C10279,56.8,20,2,0
C10280,36.7,17,2,0
C10281,8.9,3,4,3
C10282,75.9,29,1,0
C10283,32.6,13,3,2
C10284,67.8,29,1,0
C10285,42.7,16,3,2
C10286,16.4,9,5,4
C10287,58.9,23,2,0
C10288,52.9,21,2,1
C10289,45.1,18,2,0
C10290,30.4,5,4,2
C10291,9.2,6,4,4
C10292,37.4,13,3,1
C10293,0.0,5,5,5
C10294,31.5,12,4,4
C10295,73.0,22,1,0
C10296,67.4,23,2,1
C10297,48.9,17,3,2
C10298,55.7,15,3,2
C10299,42.2,12,3,3
C10300,29.3,16,4,4
C10301,56.4,22,2,1
C10302,58.9,25,2,2
C10303,41.8,17,2,1
C10304,62.2,25,2,1
C10305,34.9,16,3,1
C10306,58.9,18,2,1
C10307,65.8,17,1,1
C10308,43.1,14,3,1
C10309,54.2,21,1,0
C10310,35.2,8,3,1
C10311,31.2,14,3,2
C10312,52.1,23,2,1
C10313,53.3,17,4,2
C10314,30.3,8,4,3
C10315,37.9,17,3,3
C10316,44.4,21,2,1
C10317,49.0,19,3,3
C10318,31.2,10,5,5
C10319,18.7,10,3,3
C10320,41.6,19,2,2
C10321,42.1,12,3,3
C10322,56.5,22,2,2
C10323,18.5,5,4,3
C10324,21.8,2,4,3
C10325,14.6,2,4,3
C10326,38.5,10,4,2
C10327,49.7,22,1,0
C10328,40.7,12,3,3
C10329,46.4,27,3,3
C10330,54.9,20,2,0
C10331,51.3,18,2,1
C10332,44.1,15,2,2
C10333,57.6,22,2,1
C10334,61.0,25,1,0
C10335,56.1,24,1,0
C10336,23.0,11,3,1
C10337,6.6,4,5,5
C10338,25.1,7,3,1
C10339,64.7,24,1,1
C10340,12.8,5,5,4
C10341,23.1,9,4,2
C10342,7.0,2,4,3
C10343,53.7,17,3,1
C10344,44.6,18,3,1
C10345,29.9,15,4,3
C10346,65.4,20,1,0
C10347,30.9,12,3,3
C10348,16.3,10,5,3
C10349,18.7,14,5,4
C10350,53.9,18,2,0
C10351,54.7,15,3,3
C10352,48.6,17,3,1
C10353,45.0,18,3,1
C10354,8.4,7,4,2
C10355,24.7,7,5,5
C10356,67.3,27,2,2
C10357,38.4,11,4,2
C10358,33.1,11,3,2
C10359,72.6,25,2,1
C10360,37.3,10,6,5
C10361,82.1,28,1,1
C10362,60.8,26,3,1
C10363,17.0,3,4,4
C10364,63.1,23,1,0
C10365,48.2,22,2,2
C10366,8.8,0,5,3
C10367,54.5,14,2,2
C10368,24.6,8,4,2
C10369,33.5,18,4,3
C10370,46.7,18,1,0
C10371,15.3,10,4,4
C10372,10.8,2,4,2
C10373,40.1,22,2,0
C10374,7.4,1,5,4
C10375,31.6,12,3,1
C10376,32.3,15,5,4
C10377,71.4,29,1,1
C10378,23.5,10,4,4
C10379,46.6,21,2,0
C10380,15.1,5,4,4
C10381,43.3,12,2,2
C10382,58.2,16,4,2
C10383,41.0,17,3,1
C10384,20.8,7,4,4
C10385,5.3,1,5,5
C10386,64.7,24,1,0
C10387,25.7,9,3,2
C10388,71.4,24,1,0
C10389,29.7,11,3,2
C10390,6.1,7,4,4
C10391,58.3,21,3,3
C10392,40.7,14,3,3
C10393,43.5,15,2,2
C10394,32.5,11,4,4
C10395,16.8,8,4,2
C10396,66.5,27,1,0
C10397,51.9,15,2,1
C10398,27.5,12,4,4
C10399,24.7,12,3,2
C10400,15.5,1,4,2
